"","Year","FishName","Ages","Site","OtoWidth","FSLann","TannS","TsummS","TautS","TwinS","TsprS","TannW","TsummW","TautW","TwinW","TsprW"
"589",1972,"X040046",17,"South",0.914425082546289,0.935281921571391,1.00253131808359,1.01812306229089,1.01116912099501,0.998932535168612,0.978033337884255,0.994639832638133,1.00706659125451,1.01431078706101,0.973294435178002,0.979652489031807
"591",1972,"X050116",10,"South",0.916785251047709,0.935240899916351,1.00247151969069,1.01808214426207,1.01109773452847,0.998864227203739,0.977973952092023,0.99460501975183,1.00704955444,1.01427900673561,0.973251131796963,0.979603362712307
"592",1972,"X050088",4,"South",0.834751136744284,0.935220609305892,1.00244147296985,1.01806166050698,1.01106186874406,0.998829863338468,0.977944065062212,0.994587457878456,1.00704102256172,1.01426291826536,0.97322923794718,0.979578623813659
"593",1972,"X050085",18,"South",0.954274082833933,0.935200467138417,1.00241132829007,1.01804116065186,1.01102588820003,0.998795359918828,0.977914049160677,0.994569792559856,1.00703248195302,1.01424669758309,0.973207182693291,0.979553768202978
"595",1972,"X050099",26,"South",0.626346290794514,0.935160633137194,1.00235074622025,1.01800011378938,1.0109535836334,0.998725935519207,0.977853632430415,0.994534152122113,1.00701537528209,1.01421385953481,0.97316258812706,0.979503708221681
"596",1972,"X040033",5,"South",0.955556093823103,0.935140943850919,1.00232030941211,1.01797956734194,1.01091726000347,0.998691015092174,0.977823232463158,0.994516177274631,1.00700680958341,1.01419724213415,0.973140048911595,0.979478504554805
"602",1973,"X050184",10,"South",0.933590638302939,1.01165249463778,0.990424713919096,1.00635195979623,0.976322889975165,0.989852843868501,0.98886872192855,0.989941095996354,1.00600049180309,0.975985163071386,0.985651696696551,0.992008082564962
"604",1973,"X050103",16,"South",1.28518927172661,1.01161245246051,0.990363130646574,1.00631112157672,0.976251070618869,0.989781561096307,0.98880531715173,0.989903778115082,1.0059832651561,0.975951265923715,0.985603586736417,0.991955289201804
"605",1973,"X050116",11,"South",1.0207951739663,1.01159269763982,0.990332198785883,1.00629068307826,0.976214997798656,0.989745717021925,0.988773427288607,0.989884967188561,1.00597464178507,0.975934125963681,0.985579287895429,0.991928721820477
"607",1973,"X060028",13,"South",0.820008612503556,1.01155372810969,0.990270056070458,1.00624976845317,0.976142526809202,0.989673624931362,0.988709275088247,0.989847042149356,1.00595737574867,0.975899463144903,0.985530203109249,0.991875247707237
