"Year","FishName","OtoWidth","Ages","Site","FSLann","FSLsumm","FSLaut","FSLwin","FSLspr","TannS","TsummS","TautS","TwinS","TsprS","TannW","TsummW","TautW","TwinW","TsprW"
2002,"X060270",12.53466667,38,"West",0.714583333333333,0.658666666666667,0.796333333333333,0.804666666666667,0.598666666666667,19.065,20.1066666666667,20.4666666666667,18.4166666666667,17.27,20.1408333333333,20.8666666666667,21.6833333333333,19.6033333333333,18.41
2002,"X040045",22.992,39,"South",0.714583333333333,0.658666666666667,0.796333333333333,0.804666666666667,0.598666666666667,19.065,20.1066666666667,20.4666666666667,18.4166666666667,17.27,20.1408333333333,20.8666666666667,21.6833333333333,19.6033333333333,18.41
2002,"X050088",16.21933333,34,"South",0.714583333333333,0.658666666666667,0.796333333333333,0.804666666666667,0.598666666666667,19.065,20.1066666666667,20.4666666666667,18.4166666666667,17.27,20.1408333333333,20.8666666666667,21.6833333333333,19.6033333333333,18.41
2002,"X060083",14.91066667,30,"South",0.714583333333333,0.658666666666667,0.796333333333333,0.804666666666667,0.598666666666667,19.065,20.1066666666667,20.4666666666667,18.4166666666667,17.27,20.1408333333333,20.8666666666667,21.6833333333333,19.6033333333333,18.41
2002,"X040019",14.20866667,48,"South",0.714583333333333,0.658666666666667,0.796333333333333,0.804666666666667,0.598666666666667,19.065,20.1066666666667,20.4666666666667,18.4166666666667,17.27,20.1408333333333,20.8666666666667,21.6833333333333,19.6033333333333,18.41
2002,"X060093",24.60575,36,"West",0.714583333333333,0.658666666666667,0.796333333333333,0.804666666666667,0.598666666666667,19.065,20.1066666666667,20.4666666666667,18.4166666666667,17.27,20.1408333333333,20.8666666666667,21.6833333333333,19.6033333333333,18.41
2002,"X060141",14.018,43,"West",0.714583333333333,0.658666666666667,0.796333333333333,0.804666666666667,0.598666666666667,19.065,20.1066666666667,20.4666666666667,18.4166666666667,17.27,20.1408333333333,20.8666666666667,21.6833333333333,19.6033333333333,18.41
2002,"X060115",14.27433333,42,"West",0.714583333333333,0.658666666666667,0.796333333333333,0.804666666666667,0.598666666666667,19.065,20.1066666666667,20.4666666666667,18.4166666666667,17.27,20.1408333333333,20.8666666666667,21.6833333333333,19.6033333333333,18.41
2002,"X060118",21.50266667,31,"West",0.714583333333333,0.658666666666667,0.796333333333333,0.804666666666667,0.598666666666667,19.065,20.1066666666667,20.4666666666667,18.4166666666667,17.27,20.1408333333333,20.8666666666667,21.6833333333333,19.6033333333333,18.41
2002,"X060087",22.24775,30,"West",0.714583333333333,0.658666666666667,0.796333333333333,0.804666666666667,0.598666666666667,19.065,20.1066666666667,20.4666666666667,18.4166666666667,17.27,20.1408333333333,20.8666666666667,21.6833333333333,19.6033333333333,18.41
