"Year","SouthSST_Annual","SST_South_Months_Jun","LagSouthSST_Spring","LagSST_South_Months_Sep","LagSST_South_Months_Nov","FinSouthSST_AnnEsts","LagFinSouthSST_AnnEsts","LagFinSouthSST_SpringDat","FSLdat_Annual","FSLdat_Summer","FSLdat_Autumn","FSLdat_Spring","FSL_months_Jan","FSL_months_Feb","FSL_months_Mar","FSL_months_Apr","FSL_months_May","FSL_months_Oct","LagFSLdat_Annual","LagFSLdat_Summer","LagFSLdat_Autumn","LagFSLdat_Winter","LagFSLdat_Spring","LagFSL_months_Feb","LagFSL_months_Apr","LagFSL_months_May","LagFSL_months_Jun","LagFSL_months_Jul","LagFSL_months_Aug","LagFSL_months_Sep","LagFSL_months_Oct","LagFSL_months_Nov","FinFSLdat_AnnEsts","FinFSLdat_SummerDat","FinFSLdat_AutumnDat","FinFSLdat_SpringDat","LagFinFSLdat_AnnEsts","LagFinFSLdat_SummerDat","LagFinFSLdat_AutumnDat","LagFinFSLdat_SpringDat"
1995,17.9925,17.78,16.46,16.96,17.93,18.1858333333333,18.1858333333333,17.25,0.745,0.671,0.769,0.724666666666667,0.61,0.645,0.707,0.785,0.815,0.717,0.82225,0.762666666666667,0.809666666666667,0.931,0.785666666666667,0.847,0.828,0.868,1.002,0.977,0.814,0.774,0.739,0.774,0.7955,0.630666666666667,0.769,0.785666666666667,0.796166666666667,0.776,0.809666666666667,0.589333333333333
1996,18.4833333333333,18.53,17.25,16.38,17.29,18.5466666666667,18.5466666666667,16.8633333333333,0.82225,0.762666666666667,0.809666666666667,0.785666666666667,0.723,0.847,0.733,0.828,0.868,0.739,0.70375,0.721666666666667,0.757,0.747,0.589333333333333,0.778,0.796,0.825,0.835,0.74,0.666,0.58,0.551,0.58,0.796166666666667,0.776,0.809666666666667,0.589333333333333,0.679333333333333,0.766666666666667,0.757,0.729
1997,18.345,18.33,16.8633333333333,16.76,17.21,18.1158333333333,18.1158333333333,16.6933333333333,0.70375,0.721666666666667,0.757,0.589333333333333,0.804,0.778,0.65,0.796,0.825,0.551,0.742583333333333,0.583333333333333,0.806333333333333,0.851666666666667,0.729,0.543,0.796,0.913,0.926,0.822,0.807,0.719,0.704,0.719,0.679333333333333,0.766666666666667,0.757,0.729,0.834333333333333,0.544333333333333,0.806333333333333,0.787
1998,18.0116666666667,18.09,16.6933333333333,16.49,17.32,18.1675,18.1675,16.76,0.742583333333333,0.583333333333333,0.806333333333333,0.729,0.507,0.543,0.71,0.796,0.913,0.704,0.875416666666667,0.798,0.995666666666667,0.921,0.787,0.791,1.027,1.07,0.986,0.935,0.842,0.797,0.775,0.797,0.834333333333333,0.544333333333333,0.806333333333333,0.787,0.882166666666667,0.741,0.995666666666667,0.751666666666667
1999,18.2591666666667,18.66,16.76,16.14,17.15,18.34,18.34,16.5266666666667,0.875416666666667,0.798,0.995666666666667,0.787,0.732,0.791,0.89,1.027,1.07,0.775,0.85225,0.796,0.952666666666667,0.908666666666667,0.751666666666667,0.857,1.016,0.967,0.966,0.933,0.827,0.77,0.723,0.77,0.882166666666667,0.741,0.995666666666667,0.751666666666667,0.809666666666667,0.874666666666667,0.952666666666667,0.683666666666667
2000,18.2116666666667,18.25,16.5266666666667,15.93,16.73,17.8933333333333,17.8933333333333,16.1366666666667,0.85225,0.796,0.952666666666667,0.751666666666667,0.896,0.857,0.875,1.016,0.967,0.723,0.779333333333333,0.746333333333333,0.866333333333333,0.821,0.683666666666667,0.78,0.864,0.951,0.904,0.843,0.716,0.678,0.636,0.678,0.809666666666667,0.874666666666667,0.952666666666667,0.683666666666667,0.738333333333333,0.732666666666667,0.866333333333333,0.598666666666667
2001,17.8891666666667,17.9,16.1366666666667,15.83,16.12,17.8875,17.8875,15.88,0.779333333333333,0.746333333333333,0.866333333333333,0.683666666666667,0.783,0.78,0.784,0.864,0.951,0.636,0.714583333333333,0.658666666666667,0.796333333333333,0.804666666666667,0.598666666666667,0.654,0.765,0.869,0.854,0.843,0.717,0.555,0.629,0.555,0.738333333333333,0.732666666666667,0.866333333333333,0.598666666666667,0.731083333333333,0.669,0.796333333333333,0.659
2002,17.6875,17.91,15.88,15.61,17,17.6658333333333,17.6658333333333,16.27,0.714583333333333,0.658666666666667,0.796333333333333,0.598666666666667,0.677,0.654,0.755,0.765,0.869,0.629,0.741416666666667,0.678333333333333,0.834333333333333,0.794,0.659,0.738,0.813,0.924,0.879,0.767,0.736,0.647,0.598,0.647,0.731083333333333,0.669,0.796333333333333,0.659,0.7345,0.678333333333333,0.834333333333333,0.672333333333333
2003,17.7083333333333,17.62,16.27,16.24,16.86,17.7991666666667,17.7991666666667,16.4633333333333,0.741416666666667,0.678333333333333,0.834333333333333,0.659,0.652,0.738,0.766,0.813,0.924,0.598,0.743083333333333,0.704,0.793333333333333,0.802666666666667,0.672333333333333,0.738,0.819,0.879,0.896,0.82,0.692,0.721,0.652,0.721,0.7345,0.678333333333333,0.834333333333333,0.672333333333333,0.744,0.686,0.793333333333333,0.708666666666667
2004,18.0091666666667,17.66,16.4633333333333,15.98,16.58,17.9308333333333,17.9308333333333,16.18,0.743083333333333,0.704,0.793333333333333,0.672333333333333,0.675,0.738,0.682,0.819,0.879,0.652,0.76,0.658333333333333,0.835666666666667,0.837333333333333,0.708666666666667,0.679,0.774,0.931,0.931,0.811,0.77,0.655,0.698,0.655,0.744,0.686,0.793333333333333,0.708666666666667,0.764833333333333,0.653666666666667,0.835666666666667,0.677666666666667
